[08:57:08] Episode 29 | Step 27 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 28 | Defender gained 15.0 reward | Detection: 0.4
[08:57:08] Episode 29 | Step 29 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 30 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 29 | Step 31 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 31 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 29 | Step 32 | Defender gained 20.0 reward | Detection: 0.45
[08:57:08] Episode 29 | Step 36 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 43 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 44 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 29 | Step 45 | Defender gained 20.0 reward | Detection: 0.55
[08:57:08] Episode 29 | Step 47 | Defender gained 15.0 reward | Detection: 0.55
[08:57:08] Episode 29 | Step 48 | Attacker gained 20.0 reward | Position: N3
[08:57:08] Episode 29 | Step 50 | Defender gained 15.0 reward | Detection: 0.6
[08:57:08] Episode 30 | Step 5 | Attacker gained 20.0 reward | Position: N1
[08:57:08] Episode 30 | Step 9 | Defender gained 20.0 reward | Detection: 0.2
